District,Season,Soil_Type,Soil_N_kg_ha,Soil_P_kg_ha,Soil_K_kg_ha,Soil_pH,Organic_Carbon_pct,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Primary_Crop
Parvathipuram Manyam,Zaid,Black,148.7,84.0,109.5,7.4,0.84,32.2,1054.8,84.2,Cotton
Nellore,Kharif,Alluvial,50.3,33.1,41.1,7.3,0.31,25.6,784.9,72.2,Pearl Millet
Guntur,Kharif,Coastal Sands,149.8,84.8,111.5,7.7,0.86,32.6,890.0,76.4,Cotton
Guntur,Rabi,Black,28.3,26.1,28.1,6.8,0.89,28.8,685.7,54.0,Maize
Srikakulam,Zaid,Alluvial,69.9,45.5,55.7,6.3,1.13,22.2,251.1,54.0,Bengal Gram
Konaseema,Kharif,Black,159.2,89.9,118.9,8.2,1.07,24.1,1018.8,57.7,Sugarcane
Srikakulam,Kharif,Red,248.5,134.3,180.7,6.9,0.95,22.4,735.6,56.7,Coconut
Sri Satya Sai,Zaid,Alluvial,200.4,108.4,145.5,7.3,1.04,22.6,536.1,63.3,Banana
Prakasam,Kharif,Black,151.4,83.5,112.0,8.4,0.43,26.0,53.3,52.6,Cotton
Vizianagaram,Kharif,Coastal Sands,219.5,120.7,162.2,7.5,0.31,21.3,70.8,83.9,Papaya
Prakasam,Kharif,Black,189.3,104.3,139.1,5.5,0.58,25.2,519.1,88.5,Turmeric
Guntur,Zaid,Black,49.6,35.6,40.2,8.4,0.94,33.4,259.2,68.2,Pearl Millet
Visakhapatnam,Rabi,Black,51.4,37.0,40.6,7.1,1.14,22.3,1149.3,84.4,Pearl Millet
Nandyal,Rabi,Alluvial,129.9,74.4,98.1,6.4,1.11,21.8,132.2,57.0,Sunflower
Nandyal,Rabi,Alluvial,169.0,94.3,125.5,5.7,0.51,30.2,62.8,86.5,Tobacco
Anantapur,Rabi,Black,30.3,23.9,26.2,7.9,1.17,32.6,1124.2,54.8,Maize
East Godavari,Zaid,Black,159.1,89.3,117.6,6.9,0.59,29.2,71.1,50.8,Tobacco
Kakinada,Zaid,Laterite,170.7,94.7,127.2,7.2,0.52,31.2,787.5,76.3,Tobacco
Tirupati,Rabi,Black,109.4,64.7,82.7,6.9,1.12,34.6,527.0,65.5,Groundnut
Kadapa,Zaid,Alluvial,259.4,140.6,187.1,5.8,1.16,25.5,515.9,57.2,Vegetables
Kurnool,Zaid,Coastal Sands,41.2,29.8,35.3,7.2,0.82,21.8,1119.0,56.5,Sorghum
Nandyal,Rabi,Alluvial,31.0,25.1,26.0,7.3,0.97,20.8,659.9,57.6,Cotton
Alluri Sitharama Raju,Rabi,Red,160.0,90.8,119.4,6.7,1.18,22.2,499.3,89.2,Sugarcane
Parvathipuram Manyam,Zaid,Laterite,190.3,103.8,138.1,8.5,0.32,29.4,931.2,88.1,Turmeric
Krishna,Kharif,Laterite,178.1,100.9,132.1,7.3,0.36,23.4,55.7,71.4,Chillies
Kadapa,Rabi,Laterite,179.2,99.8,130.9,6.8,0.76,30.1,756.8,72.4,Chillies
West Godavari,Kharif,Black,229.2,124.7,167.7,6.9,0.85,33.8,1191.8,64.9,Oil Palm
Nandyal,Kharif,Black,179.2,99.2,132.6,6.7,0.79,33.2,828.9,67.2,Chillies
Prakasam,Kharif,Red,79.9,50.5,61.8,6.3,0.47,26.5,548.8,62.3,Red Gram
Palnadu,Kharif,Red,201.2,109.0,145.6,5.9,0.7,22.2,177.2,55.8,Banana
Palnadu,Rabi,Black,150.6,85.8,108.7,6.6,0.39,29.3,1064.9,51.2,Cotton
Visakhapatnam,Zaid,Red,261.0,140.8,188.9,7.7,0.46,26.0,108.9,88.0,Vegetables
East Godavari,Rabi,Alluvial,19.9,18.4,21.2,5.9,0.52,25.9,196.0,48.2,Paddy
Guntur,Rabi,Alluvial,120.0,71.4,88.8,7.8,0.59,31.8,115.4,60.7,Sesame
Anakapalli,Zaid,Red,240.9,130.9,174.4,7.9,0.33,26.4,493.9,65.1,Cashew
NTR,Rabi,Coastal Sands,81.2,51.5,62.0,6.4,0.92,22.0,1021.0,62.6,Red Gram
East Godavari,Kharif,Laterite,190.4,105.5,139.8,6.8,0.31,29.0,1072.1,69.1,Turmeric
Vizianagaram,Kharif,Laterite,120.9,69.5,89.2,5.9,0.32,20.0,396.6,86.8,Sesame
Nellore,Kharif,Black,219.1,120.6,158.6,8.3,0.36,28.4,1162.9,41.7,Papaya
Alluri Sitharama Raju,Rabi,Black,110.9,64.7,84.0,7.5,0.96,29.8,498.2,61.6,Groundnut
NTR,Rabi,Coastal Sands,150.7,85.8,109.5,7.9,1.13,34.8,595.8,82.5,Cotton
Srikakulam,Rabi,Alluvial,91.5,53.9,68.6,7.1,0.58,20.1,324.9,65.6,Green Gram
West Godavari,Kharif,Alluvial,28.1,24.6,28.0,7.6,1.14,26.0,1013.5,89.3,Maize
Vizianagaram,Zaid,Coastal Sands,167.9,95.3,126.3,8.4,0.79,25.3,1059.7,40.3,Tobacco
West Godavari,Zaid,Alluvial,201.3,108.2,147.4,6.7,0.86,24.7,223.2,82.3,Banana
Kakinada,Rabi,Black,260.8,139.4,188.6,7.0,0.66,21.8,819.4,59.2,Oil Palm
East Godavari,Zaid,Black,159.9,87.1,118.9,7.0,0.85,31.9,950.3,77.1,Sugarcane
Guntur,Kharif,Alluvial,248.3,135.1,181.5,6.3,0.67,32.9,123.8,50.3,Coconut
Palnadu,Rabi,Black,200.2,109.7,144.9,6.2,0.58,28.3,489.3,67.5,Bengal Gram
East Godavari,Kharif,Alluvial,130.9,76.1,97.2,6.4,0.53,22.6,381.8,41.2,Sunflower
Prakasam,Kharif,Black,59.9,39.3,48.2,7.9,0.38,27.4,412.8,41.4,Finger Millet
Parvathipuram Manyam,Kharif,Alluvial,19.8,20.6,20.3,6.3,0.63,33.3,118.6,71.9,Paddy
Konaseema,Zaid,Alluvial,250.2,133.8,180.5,5.6,0.34,34.2,282.7,63.6,Coconut
